"","long","lat","group","order","region","subregion"
"132",-121.20922088623,45.6475486755371,60,14354,"washington","main"
"133",-121.266510009766,45.670467376709,60,14355,"washington","main"
"134",-121.32381439209,45.6876525878906,60,14356,"washington","main"
"135",-121.369644165039,45.6933860778809,60,14357,"washington","main"
"136",-121.426940917969,45.6933860778809,60,14358,"washington","main"
"137",-121.524353027344,45.7048416137695,60,14359,"washington","main"
"138",-121.570182800293,45.7048416137695,60,14360,"washington","main"
"139",-121.673316955566,45.6933860778809,60,14361,"washington","main"
"140",-121.77645111084,45.6933860778809,60,14362,"washington","main"
"141",-121.839469909668,45.6933860778809,60,14363,"washington","main"
"142",-121.896774291992,45.670467376709,60,14364,"washington","main"
"143",-121.931144714355,45.6418151855469,60,14365,"washington","main"
"144",-122.257736206055,45.5444145202637,60,14366,"washington","main"
"145",-122.320762634277,45.532958984375,60,14367,"washington","main"
"146",-122.378059387207,45.5558738708496,60,14368,"washington","main"
"147",-122.48119354248,45.5730628967285,60,14369,"washington","main"
"148",-122.630157470703,45.5902519226074,60,14370,"washington","main"
"149",-122.727554321289,45.6131706237793,60,14371,"washington","main"
"150",-122.761940002441,45.6418151855469,60,14372,"washington","main"
"151",-122.77912902832,45.6819229125977,60,14373,"washington","main"
"152",-122.77912902832,45.7048416137695,60,14374,"washington","main"
"153",-122.77912902832,45.7334899902344,60,14375,"washington","main"
"154",-122.76766204834,45.7678680419922,60,14376,"washington","main"
"155",-122.77912902832,45.7907867431641,60,14377,"washington","main"
"156",-122.790588378906,45.8194351196289,60,14378,"washington","main"
"157",-122.790588378906,45.8423538208008,60,14379,"washington","main"
"158",-122.790588378906,45.8767318725586,60,14380,"washington","main"
"159",-122.807769775391,45.934024810791,60,14381,"washington","main"
"160",-122.847877502441,45.9798622131348,60,14382,"washington","main"
"161",-122.910903930664,46.071533203125,60,14383,"washington","main"
"162",-122.996841430664,46.1116409301758,60,14384,"washington","main"
"163",-123.117164611816,46.1689414978027,60,14385,"washington","main"
"164",-123.174468994141,46.1689414978027,60,14386,"washington","main"
"165",-123.22029876709,46.1574783325195,60,14387,"washington","main"
"166",-123.237487792969,46.1517486572266,60,14388,"washington","main"
"167",-123.27759552002,46.1402893066406,60,14389,"washington","main"
"168",-123.329162597656,46.1345596313477,60,14390,"washington","main"
"169",-123.369270324707,46.1402893066406,60,14391,"washington","main"
"170",-123.397926330566,46.1689414978027,60,14392,"washington","main"
"171",-123.426574707031,46.1861267089844,60,14393,"washington","main"
"172",-123.43229675293,46.2262344360352,60,14394,"washington","main"
"173",-123.397926330566,46.2033157348633,60,14395,"washington","main"
"174",-123.357818603516,46.1918601989746,60,14396,"washington","main"
"175",-123.34635925293,46.2262344360352,60,14397,"washington","main"
"176",-123.38646697998,46.2548828125,60,14398,"washington","main"
"177",-123.449478149414,46.2663421630859,60,14399,"washington","main"
"178",-123.518249511719,46.2663421630859,60,14400,"washington","main"
"179",-123.58699798584,46.2720718383789,60,14401,"washington","main"
"180",-123.627105712891,46.2835311889648,60,14402,"washington","main"
"181",-123.661476135254,46.3064498901367,60,14403,"washington","main"
"182",-123.707321166992,46.2835311889648,60,14404,"washington","main"
"183",-123.758888244629,46.2835311889648,60,14405,"washington","main"
"184",-123.79899597168,46.2663421630859,60,14406,"washington","main"
"185",-123.850563049316,46.260612487793,60,14407,"washington","main"
"186",-123.890670776367,46.2720718383789,60,14408,"washington","main"
"187",-123.919319152832,46.3064498901367,60,14409,"washington","main"
"188",-123.976608276367,46.3179054260254,60,14410,"washington","main"
"189",-124.005256652832,46.2949905395508,60,14411,"washington","main"
"190",-124.028175354004,46.3121795654297,60,14412,"washington","main"
"191",-124.016716003418,46.3694763183594,60,14413,"washington","main"
"192",-124.01099395752,46.4554176330566,60,14414,"washington","main"
"193",-124.022438049316,46.5299034118652,60,14415,"washington","main"
"194",-124.033897399902,46.6158447265625,60,14416,"washington","main"
"195",-124.016716003418,46.6330337524414,60,14417,"washington","main"
"196",-123.988067626953,46.6158447265625,60,14418,"washington","main"
"197",-123.970886230469,46.5700073242188,60,14419,"washington","main"
"198",-123.959419250488,46.3694763183594,60,14420,"washington","main"
"199",-123.896392822266,46.380931854248,60,14421,"washington","main"
"200",-123.873474121094,46.438232421875,60,14422,"washington","main"
"201",-123.879211425781,46.4955253601074,60,14423,"washington","main"
"202",-123.850563049316,46.524169921875,60,14424,"washington","main"
"203",-123.92504119873,46.6273040771484,60,14425,"washington","main"
"204",-123.879211425781,46.6330337524414,60,14426,"washington","main"
"205",-123.862007141113,46.6788711547852,60,14427,"washington","main"
"206",-123.79899597168,46.70751953125,60,14428,"washington","main"
"207",-123.850563049316,46.7476272583008,60,14429,"washington","main"
"208",-123.879211425781,46.7304382324219,60,14430,"washington","main"
"209",-123.902114868164,46.7247085571289,60,14431,"washington","main"
"210",-123.92504119873,46.7361679077148,60,14432,"washington","main"
"211",-123.953681945801,46.70751953125,60,14433,"washington","main"
"212",-123.988067626953,46.7189788818359,60,14434,"washington","main"
"213",-124.028175354004,46.713249206543,60,14435,"washington","main"
"214",-124.045356750488,46.7361679077148,60,14436,"washington","main"
"215",-124.045356750488,46.7877349853516,60,14437,"washington","main"
"216",-124.056823730469,46.8278427124023,60,14438,"washington","main"
"217",-124.085464477539,46.8851356506348,60,14439,"washington","main"
"218",-124.079742431641,46.9080543518066,60,14440,"washington","main"
"219",-124.045356750488,46.9023246765137,60,14441,"washington","main"
"220",-124.028175354004,46.8622169494629,60,14442,"washington","main"
"221",-123.988067626953,46.8450317382812,60,14443,"washington","main"
"222",-123.988067626953,46.8622169494629,60,14444,"washington","main"
"223",-123.993789672852,46.8965950012207,60,14445,"washington","main"
"224",-123.959419250488,46.9195137023926,60,14446,"washington","main"
"225",-123.867744445801,46.9367027282715,60,14447,"washington","main"
"226",-123.770347595215,46.976806640625,60,14448,"washington","main"
"227",-123.856285095215,46.9997253417969,60,14449,"washington","main"
"228",-123.947959899902,46.9997253417969,60,14450,"washington","main"
"229",-123.965148925781,47.0226440429688,60,14451,"washington","main"
"230",-123.988067626953,47.0512962341309,60,14452,"washington","main"
"231",-124.045356750488,47.0455627441406,60,14453,"washington","main"
"232",-124.074005126953,46.976806640625,60,14454,"washington","main"
"233",-124.091201782227,46.9653511047363,60,14455,"washington","main"
"234",-124.108390808105,46.9882698059082,60,14456,"washington","main"
"235",-124.108390808105,47.0742149353027,60,14457,"washington","main"
"236",-124.137031555176,47.1888046264648,60,14458,"washington","main"
"237",-124.154220581055,47.2575607299805,60,14459,"washington","main"
"238",-124.194328308105,47.2976684570312,60,14460,"washington","main"
"239",-124.245895385742,47.3320426940918,60,14461,"washington","main"
"240",-124.274543762207,47.4065284729004,60,14462,"washington","main"
"241",-124.303199768066,47.486743927002,60,14463,"washington","main"
"242",-124.314643859863,47.5153884887695,60,14464,"washington","main"
